Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HS,AS,HF,AF
2025/26,18/01/2026,Sociedad,Barcelona,2,1,H,6,9,8,25,13,8
2025/26,25/01/2026,Barcelona,Oviedo,3,0,H,7,3,15,12,8,21
2025/26,31/01/2026,Elche,Barcelona,1,3,A,3,8,9,30,15,9
2025/26,07/02/2026,Barcelona,Mallorca,3,0,H,7,4,24,9,7,9
2025/26,16/02/2026,Girona,Barcelona,2,1,H,9,4,13,27,10,6
2025/26,22/02/2026,Barcelona,Levante,3,0,H,9,2,22,5,12,10
2025/26,28/02/2026,Barcelona,Villarreal,4,1,H,8,1,19,6,11,9
2025/26,07/03/2026,Ath Bilbao,Barcelona,0,1,A,3,2,10,7,11,9
2025/26,15/03/2026,Barcelona,Sevilla,5,2,H,8,4,13,8,5,14
2025/26,22/03/2026,Barcelona,Vallecano,1,0,H,4,4,15,8,12,11
2025/26,04/04/2026,Ath Madrid,Barcelona,1,2,A,2,8,6,22,15,11
2025/26,11/04/2026,Barcelona,Espanol,4,1,H,10,2,20,10,10,18
2025/26,22/04/2026,Barcelona,Celta,1,0,H,3,3,10,6,13,10
2025/26,25/04/2026,Getafe,Barcelona,0,2,A,0,4,4,13,15,8
2025/26,02/05/2026,Osasuna,Barcelona,1,2,A,4,4,9,13,9,10
2025/26,10/05/2026,Barcelona,Real Madrid,2,0,H,7,1,10,8,18,9
2025/26,13/05/2026,Alaves,Barcelona,1,0,H,3,0,9,8,14,8
2025/26,17/05/2026,Barcelona,Betis,3,1,H,9,2,15,7,7,8
2025/26,23/05/2026,Valencia,Barcelona,3,1,H,6,4,19,11,11,8
